linkPVID,Slope given (Average),Computed Slope(Average)
51881767,0.104333333,-0.002741554
51881768,-0.0165,5.34E-09
51881825,-0.117,0
51881938,0.123333333,0
811768915,0.175333333,0
51883233,1.491666667,0
67948960,0.83725,-0.027414551
67948524,0.424333333,0
51883237,0.978,0
51883238,0.10875,0
51883362,1.15375,-0.027414991
67948946,1.17875,0
67948945,0.09575,0
67948530,-0.6805,0
51883890,-0.35825,2.44E-08
554728228,0.942142857,0.00685355
554728229,0.2355,0
51867645,-0.102,0
762732456,-0.0185,0
51866678,-0.021,-0.027415431
51866677,-0.002,0
799517966,-0.055666667,0.013707737
799517967,-1.45E-18,0
51865408,-0.024,0.027414392
762732451,-0.012,0
762732452,-0.0055,9.45E-08
51882111,-0.0715,0
51882112,-0.071666667,0
762732447,0.017666667,0
762732448,0.019,0
762732458,0.064,0
719953785,-0.004666667,-0.027414973
716671988,-0.013666667,1.58E-07
762772848,-5.00E-04,0
762772849,0.0115,-0.009138201
51881430,0.111666667,0.027414558
51888926,-0.0235,-0.009138482
554739608,-0.094333333,3.46E-08
51867079,-0.069,-0.027415087
554739611,-0.145,0
554728248,0.057666667,0
554728249,0.372,0
67942291,0.491,0.013707624
67942292,0.263666667,0
773673189,-0.6475,0
773673190,-0.797,0
67948819,-0.1952,0
51867088,-0.094,0.027414649
51867089,-0.11475,0
51867664,0.04,0
51867774,0.085666667,-0.009138526
572252438,0.107,-1.17E-07
572252439,0.049666667,-0.027415228
51867666,0.047,-0.027414287
554728246,0.00975,-0.013707386
51867668,-0.073,0
781750241,0.043,0
51867087,-0.3265,-0.02741518
51867096,-0.5135,-0.004569293
773673192,-0.386,0
51867114,0.181,0
67942290,0.3665,0
67942289,0.151,0
51882109,-0.012,0
586525586,-0.22725,0
51867717,-0.064,0
586525704,-0.143,0
51867684,0.0205,0
724991084,-0.131,0
51885534,-0.084,0.006853579
51883586,-0.906,-0.018276346
51883509,-0.846333333,-3.73E-08
51883510,-1.4265,0
723434427,-1.226,0
723434426,-0.28775,0
711674430,1.049333333,0
586532797,1.083285714,-0.027414726
554749725,0.12,0
554749724,0.529,0
51883141,0.599,0
762783421,0.118,0
762783420,-0.17175,0.02741392
67948599,0.153,0.027413927
67948598,0.963875,0
51869460,-0.77125,0
51869456,-0.6808,0
83733403,-0.015,0
726159762,0.0415,0
726159763,0.177,0
572245506,-0.02,0
572245505,0.0605,0.02741428
572245502,0.059666667,-0.013707067
572245501,0.0672,2.57E-07
67948729,-0.899,0
51929932,0.065333333,0
51883577,0.514818182,-0.027413874
67948494,-0.951230769,0
67948453,-0.1815,0
724247769,-1.19,0
83734332,-0.492,0
83734331,-0.186,0
51883668,0.656333333,0.013707042
51883669,0.287333333,-0.02741535
586834766,-0.121375,0
711688562,0.466666667,-3.97E-07
586834767,-0.4318,0
764758872,-2.3523,0
554808815,2.4518,-0.027414996
764758870,-0.162444444,-7.65E-07
764758869,2.3021875,0.013707563
764758868,1.8782,0
781803228,2.243,0
781803227,3.4675,0
554808788,2.54725,-0.027415428
548084540,2.615333333,0
548084552,0.9294,0.027415027
548085081,0.69875,0.027414675
548085080,0.663,0
548084580,0.73225,2.50E-07
548084581,0.253666667,0
764680464,-1.311,0
548084936,1.0995,0
548085074,0.37,0
554806707,0.0354,-3.59E-07
548084950,0.069,0
548084929,-0.06975,0.027415329
548084964,-0.314666667,0
548084967,-1.7168,0
781803224,0.742,0.027415357
764754024,-0.137,0
764754027,-0.332375,-0.027413513
764754026,0.428875,0.027414099
764754028,-0.985,0
764754023,-2.404833333,0.027414703
764754022,-2.053,0
565430458,-1.1805,0
565430459,-0.5935,0
548028894,-0.5925,0
548029530,0.480333333,2.44E-07
548029529,0.8924,-0.020560642
565390068,0.297,0
565390067,0.3325,0
565390315,-2.974875,-0.027414413
760095034,-1.14405,0.009138726
760095037,0.620766667,-0.005483024
760095035,4.430111111,0
565390271,2.0775,0
586810051,-1.540777778,0
781485291,-0.144333333,0
760095043,-1.418357143,-4.21E-07
760095042,-1.2088,0.013706897
548082838,0.0695,0
548082827,0.8875,-0.0274152
548082797,-0.878875,0
548082829,-2.184466667,0.009138562
548082834,-2.71475,0
760095044,1.354,0
760063148,3.104555556,-0.027415192
760063147,3.037714286,0.013707505
760063144,2.347214286,0.027414411
760063143,2.335,0
760063142,2.487076923,0.027415275
760063140,-1.45825,0
760063139,1.006818182,-0.027414099
565390262,-0.2194,0
760063136,0.3415,-0.027415147
565390257,-0.2345,0
565390255,0.8235,0.027413406
760114605,-2.219736842,-0.009138284
760114604,-0.644769231,-0.003426964
548097276,-0.692590909,0.012184451
548083990,0.4985,0
760114625,0.5602,0.027413986
781485293,3.499235294,-0.002741599
781485292,4.3915,0.02741536
548084055,4.70675,0
548084101,4.623,0
565390278,4.424333333,-0.027415329
565390277,3.5755,0
548084014,2.633285714,0
548084012,0.614625,-0.013707653
53638655,1.1882,0
548084092,1.1705,0
565390276,0.754555556,0.027415279
565390275,0.111,-0.027415362
548092384,-0.171375,0.027414394
760108482,-0.30825,0
781485285,-1.3682,0
565390747,-3.290227273,-0.006853731
565418171,-3.385571429,0
565418172,-3.05475,0.027415412
565390727,-1.1675,-0.027414528
565390724,-1.26825,0
543972349,1.482,0
565390288,1.328333333,0
565390733,1.806923077,-0.027414983
565390732,3.446,0
548082578,1.747555556,-0.009138267
548082579,1.785428571,0.027415339
565390298,2.430172414,-0.003916346
760114622,1.716619048,-9.42E-08
760114621,1.3085,0
760114616,0.947,0
760114618,0.86,0
760114617,1.029833333,-0.027414864
760114620,2.13025,-4.88E-07
760114619,2.332375,0.027415228
565390284,2.366,0
64992769,2.407875,0
565390286,-1.648,0
565390281,-1.523727273,-0.00913815
586810045,-1.204,0
554804374,-0.8915,0
548082570,0.602,0.027415018
548082596,-0.595,0
548082595,-2.199,0
565390744,-0.6786,0.027414417
543979150,-0.374333333,0.027415003
543979153,-0.459,0.027414578
543979138,-0.47275,0.027414183
586810039,-0.5175,0
762000739,-0.768666667,0
762000738,-0.2836,-0.013707322
762000741,-0.609666667,0
762000740,-0.936166667,0
543974238,-0.549111111,0
543971200,-0.7218,0
762000758,-1.088305556,0.001443006
762000757,-1.649666667,0.009138348
762000756,-1.225916667,-5.67E-07
762000727,-2.196941176,0.002741497
762000726,-3.07494,0.009137793
565390483,-0.55025,0.001096634
565390484,-0.526,0.013707597
543976706,-0.446,0
53396956,-0.1942,0.027415242
548096133,-0.03425,0
543971216,-1.247588235,2.86E-08
543971237,-0.81775,0
543971217,-0.5074,0
586809667,-0.363142857,-0.006853918
548096179,-0.2782,0
543974276,-0.4161,0
543974277,1.6728,0
565418180,-0.009333333,0
762000760,-1.884333333,0
762000761,-2.8544,0.020561458
762000762,-3.0185,2.14E-07
762000763,-3.860285714,-0.013706911
565390481,-5.106185185,-0.008224615
762000720,-2.242483871,-0.016449151
762000721,-2.735125,-2.44E-07
762000723,-5.108388889,0.002109018
586809670,-4.8036,0
565390471,-3.462428571,0
565390474,-1.556111111,0.013707636
565390473,-0.9455,0
762000718,-0.931875,3.03E-07
543976940,-0.9578,0
760305983,0.502,0.027413718
548086033,-1.594,0
565390198,-0.747666667,0
565390197,-0.912266667,0
760305985,-1.366055556,1.39E-07
760305986,-0.811,0
760305984,-0.179666667,0
565390185,-0.403666667,0.006853796
760305991,-1.540285714,0
760305992,-1.144769231,0.027415071
548085183,-0.50425,0
53638221,1.164090909,0
760305989,1.6462,0
760305987,2.5914,-0.027414176
760305988,3.34225,0
760305994,4.642142857,0.013707293
760305995,4.105787879,0.018276729
760305993,4.04325,-0.009138482
764776140,-0.320176471,4.12E-08
764776141,1.8878,-0.027415303
548046190,0.8135,0.027414465
548046191,-1.121666667,-0.006853885
565390155,3.3149,-1.55E-07
760305964,1.7475,0
760305967,1.405666667,0
586809680,2.598428571,-1.11E-08
760305968,0.217,0
760305969,0.665666667,0.009137641
548097164,3.844428571,0.013707337
760305975,2.641,0
760305976,0.818809524,0.027414985
760305970,1.632,0
760305971,2.723176471,0.009138456
760305974,-1.284189189,-4.54E-08
760305972,-1.568333333,0
565390183,-1.40675,0.027414801
548080391,-1.295090909,0
586809674,0.855333333,0
760305998,1.7655,0
760305999,1.599857143,0
767384247,-1.8695,0
760305996,-1.534833333,-0.027414693
764761162,2.692039216,-0.004984275
764761163,4.299166667,0.016449068
764761164,1.148642857,0
764761166,-4.106,0
764761167,-3.8979375,0.006853497
764761168,-3.840875,-2.51E-07
548053081,-1.98375,0
554808748,-0.238641509,0.006450379
554808749,1.628,-0.027414554
548045888,1.777,0
548045886,3.00725,-0.027415211
64993163,1.660166667,0
548046315,2.649666667,0
764776139,-0.953666667,0
548046508,2.093142857,0.027415372
764776137,1.177,0
554808754,0.106666667,0
53394495,0.282666667,0
764725771,0.204333333,0.009138435
764725770,0.072333333,-0.027415103
548025863,-0.26875,0
548133981,-0.097625,0.013707163
764656996,-0.77175,0.027414321
764656997,-0.269666667,0
53638672,0.003666667,-0.027415249
781803255,0.339714286,0.013707381
764761158,1.235416667,-0.027415367
764761159,1.468466667,0.013707684
548030040,0.161090909,0.027414945
548088307,-0.2787,-0.027414947
759936407,-0.23725,0
759936406,-0.490166667,-3.08E-09
548024682,-0.216333333,3.35E-08
548024683,-0.463875,0.018276483
548127711,-1.020692308,0.004569194
548091789,-1.37425,0.027414324
548127712,-1.3324,-1.26E-07
548127713,0.779,-0.027415356
548024991,-1.097666667,0.027414897
548025233,-1.4555,0
764580433,1.215,0
548025227,1.3335,0.009138555
548128101,-1.044666667,0
548024366,-2.520666667,0
62005168,-0.18725,0
62005186,-0.0865,0
62024756,-1.815,0
62006076,-2.199666667,0
78654476,-2.6122,0
62006072,-2.44475,0
590234862,-2.15125,0
78654439,-1.048714286,0
62005527,0.117555556,0
62005136,0.5568,0
62005149,0.3755,0
62005148,0.00675,0
567319394,-0.621333333,0.027414788
761986727,0.25525,0
761986726,1.2005,0
774505576,1.262352941,0.013706669
61791966,-0.154333333,4.86E-07
761986731,-1.809666667,0
756014036,-2.524166667,0.027414799
761986723,-2.5565,0
761986725,-0.278333333,-2.88E-07
761986724,0.280333333,0
761986720,-0.0396,-6.48E-07
576448273,-0.8125,0
61798549,-1.308,0
550095245,-1.3875,0
792608946,-0.040166667,0
51810104,-0.0165,0
792608939,-0.038,0
792608938,-0.129333333,0.0068536
792608934,0.062,0
586499625,0.02925,-0.027414375
586499624,-0.07925,0.027414328
586499621,0.042,0
792603851,0.101,0
792603850,-0.00275,0
51810298,-0.226333333,0
51810273,-0.377,0
51810274,-0.3725,0
51810275,-0.193,0.013707703
51810276,0.054,0
51810277,0.09,0
51810278,0.083,0
554737042,0.1658,0.027414182
554737041,-0.2168,0.027414548
554737096,-0.056769231,0.027413503
554737095,-0.009,-0.027413349
51758466,0.1455,-0.009137894
68097373,0.068333333,0
68098141,-0.126,0
68100041,-0.311333333,0
68100040,-0.2975,0
68098138,-0.233666667,0
68097371,0.01525,-0.027414313
51758469,-0.127333333,0
762784461,-0.9195,0
762784462,-2.506333333,0
80715285,-0.983,0.027415484
80715310,0.124333333,0
80708077,-0.59,0.027414491
80708078,-2.943,-2.85E-07
80708079,-3.49025,0
762784472,-3.352173913,-0.005483003
79672835,-3.743821429,-0.009138178
79672836,-2.962181818,0.027415387
80708094,-2.3222,0
762784451,-1.8514,0
554725979,-2.027,0
80708095,-2.095166667,5.57E-08
762784469,-2.15552381,-0.006853853
762784470,-2.220142857,5.39E-07
762784456,-2.380058824,0.006853409
79654851,-0.714285714,4.89E-09
51931960,0.421666667,0
79942715,-0.48575,0
51765454,0.21875,9.96E-08
67912996,1.394,-0.027415495
769172030,0.5488,0
769172031,0.267,0
572216936,2.017,0
572246845,2.065,0
572246844,0.482714286,-0.020559611
732990610,0.7685,0
732990614,-1.4112,-0.027414095
732990615,-2.454285714,0.013707036
769206629,-1.976333333,8.17E-07
769206630,-1.042333333,-0.027412992
554730583,-0.275,-0.027414827
554730588,-0.391,-0.013707163
554730589,-0.212545455,0.018276482
762380643,0.121333333,-0.027413541
762380644,-0.1032,0.027413539
762380646,-0.3312,0
762380650,-0.3025,0
792528499,-0.35925,0
762228005,-0.228333333,0
762228007,0.129666667,-0.027414614
762228008,0.060333333,0
736475879,-0.357571429,0
51931970,-0.302555556,0.013707422
762228010,-0.1825,0.010280264
762504358,0.098666667,0
67948781,0.0112,0
572246780,-0.01025,0
572246781,0.2411,0.027413425
51869129,0.85625,0
67942100,0.367333333,0
554712497,-0.302,0
722513849,-0.725333333,0.027414589
722513850,-0.3905,0
783425120,-0.056333333,0
783425121,-0.0725,0
554712535,-0.0974,0.027413434
792662638,0.314,0
792662639,0.1255,0
792662640,-0.132,0
792662641,-0.244714286,-0.013706876
792802075,0.0595,0
792806339,0.055,0
792806340,0.026333333,0
792806333,0.042666667,0
792806322,0.156666667,0
792806325,0.113,0.027412188
51867134,-0.039333333,3.77E-07
51867262,0.0425,0
554712543,0.081,-0.013706161
554712619,-0.019,0
724697719,0.370333333,0
724697720,0.651,0
783424851,0.620666667,0
67948800,-0.0325,0
572246789,-0.604666667,0
572246790,0.180444444,-0.009137852
773079650,0.5115,0
783424874,-0.4994,0.027412934
554735922,-0.7582,0.02741469
572246786,0.304833333,0.027413511
723478323,0.25825,0
554729883,-0.4398,-0.027414181
572231401,-0.8035,-0.027414597
554735932,-0.118666667,0
554735931,-0.1706,0
554712495,-0.144857143,-0.027411812
572246783,0.088333333,-0.018275398
797961457,-0.146454545,0
60115048,0.2815,0.027412348
51734849,-0.12,0
773186875,-0.468666667,0
773186876,-0.631333333,0
67944677,-0.767666667,0
67944675,-0.832,-0.027413023
83717773,-0.375375,4.76E-07
67944706,0.125666667,0
51734847,0.066,0
727337787,-0.161666667,0
727337788,-0.205,-0.009137194
727337789,-0.0975,0
51863402,-0.099833333,-2.14E-07
51863404,-0.087,0
727337790,-0.078,0
727337791,-0.067666667,0.027412591
572246797,-0.0615,0
67942259,0.062,0
716318438,0.51975,-0.027412133
554712525,-0.016333333,0
554712523,-0.01075,0
792654652,-0.166666667,0.013706143
792654653,-0.54,0
586506657,-0.689,0
586506383,-0.476625,0
572236268,-0.017,0
586494776,-0.00725,0
572246794,-0.141333333,0.027412369
572246795,-0.075,0
554712534,0.2028,0.009138025
554712707,0.3245,5.62E-08
67944903,0.490333333,0
67944904,0.575,0
51734640,0.773,0.027414363
773182339,0.235,0
773183922,0.100684211,0.009968529
51734665,0.056083333,-0.004568353
572247118,0.02925,0
773185342,-0.007666667,0
83708500,-0.046461538,0.027411788
727337780,-0.041333333,0
727337781,-0.5256,0.00548227
51833449,0.11125,0.005482945
586501270,0.119,0
586501276,0.13,0
51834206,-0.019,0
554733925,-0.148,0
586531375,-0.1376,-0.006853569
51834514,-0.0895,0.009138058
540638216,-0.13,-0.027413937
540638217,-0.057,0
554733928,-0.01,-0.027414471
540617279,0.0395,0
572226118,0.0365,0.01370717
67946748,-0.245333333,0
67946749,-0.158,0
67946747,-0.1195,0.027414448
51932174,-0.256,0
51932176,-0.307,0
67946751,-0.262,0
67946756,-0.0695,0
547984535,0.17125,0
554798281,-0.045,0
547984532,0.127,0
565437698,0.032333333,0
565392878,0.1622,0
565392879,-0.069,0
547983509,-0.040714286,0
586810468,-3.18975,0
565391346,-3.0998,0
779521608,-2.8426,0
565400822,-1.7664,0
746824096,-0.8052,0.006853416
746230819,-0.7518,0.006853855
565391378,-0.7405,0
746230818,-0.358,0
746230817,-0.992833333,0
746230814,-0.846,0
746824100,-0.622,0
799473685,-0.343,0
799473684,-0.274666667,0
565391352,-0.603,0
53547841,-0.14875,0
565391351,0.36225,0
565391350,-0.4428,0
565391358,-0.739333333,-0.005482757
565391359,-2.071,0
586810442,-2.054,0
586810441,-1.9165,0
565391348,-2.1235,0.003045983
53672588,-2.9099,0
53672543,-2.815,0
565391357,-3.0112,0
60930209,-1.136142857,0
53544841,-1.968333333,0
746572831,1.13825,0
746572832,1.16,0
746342785,-0.0945,0
746342786,-0.268,0
746342783,-0.362333333,0
746342784,-0.259666667,0
77301946,0.244857143,0
77319385,0.328428571,0
565404816,0.9215,0
565444437,0.8652,0
565399919,1.718,0
565399920,2.5275,0
565399918,1.2116,0
554776790,-1.3042,0
586809881,1.157,0
779705557,2.3298,0
565383822,-0.338052632,0.005482997
565383824,0.7865,0
565399984,0.145666667,0
565399982,-0.903526316,0.003046139
746824097,-0.722,0.027415035
746824098,-0.747777778,0.001827649
586810470,-0.755,0
586810471,-0.762,0.027413818
586810475,-0.534636364,4.82E-08
756568009,0.055,0
756568010,0.252666667,0
703993890,0.026333333,-0.027413353
51810379,-0.4025,0
51810566,-0.7295,-0.009138066
51810148,0.028333333,0
51810375,-0.0795,0
51810373,-0.06,0
51810372,0.2445,0
762906509,0.664,0
51810207,0.722,0
51810204,0.967,0
51810203,1.051,0
51810224,0.279,0
51810226,0.2765,0
572235103,0.3145,0
756568012,0.8296,0.02741445
51958949,1.054125,3.42E-07
51958889,1.101833333,0
764711059,1.296,0
764711060,1.479,0
51960847,1.402,0
764711074,0.4285,0
764711075,0.211666667,0
51958721,0.82,0.027414702
51958694,0.5645,0
51958671,0.1636,2.68E-08
764711064,0.1545,0
764711063,0.394,0
554739123,0.333,0
586505589,0.2085,0
572225502,0.171,-0.027414298
572225501,0.0246,0
51958797,-0.111333333,0.027414434
51960833,-0.15475,0
572198058,-0.301,0
572198057,0.429666667,0
764711082,0.414142857,-0.02741434
764711083,-0.2146,-0.009138034
51959911,0.202,0
572198060,0.36325,0
572198059,0.07325,0
572198061,-0.163857143,0.013707459
586489018,0.030666667,-0.027414638
764711088,0.07825,4.65E-07
764711089,0.002,0
572198053,0.021,0.027415234
764711070,-0.001,0
764711061,-0.014666667,-0.009138636
586488979,-0.0412,0.006853701
51959196,-0.2265,-0.027414728
51959192,-0.1495,0
51959190,0.01,0
51959182,-0.006,0
572198353,0.045,0
67911020,-0.0385,-0.027414537
67911021,0.0035,0
764692635,0.038,-0.013706785
764692636,0.0055,0.027414504
764692622,0.05,0
764692623,-0.007333333,-0.005482716
764692648,-0.009,0
764692649,-0.021333333,0
51960742,-0.041,0
764692639,-0.032666667,-0.013706867
792665152,-0.054,0
792665153,0.019333333,-0.013707166
764692641,0.0335,0
764692642,0.0865,-0.027414388
764692650,0.044,0
764692651,-0.0085,0
764692633,-0.0415,0
764692634,-0.097,0
764692620,-0.094,0
764692621,-0.081,0
67918492,-0.0715,2.78E-08
554739337,0.062,-0.027414102
572232109,0.013,0
67949737,-0.245333333,0
792681514,-0.1,-0.004569019
51931414,0.158333333,0
67942088,-0.53675,0
67942087,-1.365,0.027414974
51863187,-0.78475,0.027414617
51863186,-0.0845,-0.027414493
51862657,0.5305,0
572247132,1.056375,1.38E-07
722513846,0.5,0.010965738
722513845,0.0655,0
783425131,0.0275,0
51810149,0.0664,0
554737125,0.4668,0
565383826,-0.283941176,0.010965166
539194916,0.104,0
762795798,-2.448375,0
51884744,0.315,0
67942089,0.0365,0
705797302,-2.655333333,0
762732453,-0.2235,0
51882114,0.0355,0
554733935,0.661076923,0
540650668,0.561333333,0
769172035,1.037333333,0.027412561
565437697,-0.236333333,0
51963421,0.061,0
724069754,-0.086333333,0
769172033,1.7195,0
572216935,-0.335,0
711688561,0.793666667,0
51728463,0.186,0
548083782,-1.0015,0
565391347,-3.238,0
586810469,-2.0598,0.013707514
565383794,-0.28,0
586525543,-0.172,0
572245503,0.035,0
764680465,0.0555,0
760095036,4.052428571,0
760095040,0.8501,0
586810052,-1.703,0
760095050,0.6092,0
760063138,0.613,0
762000766,3.685,0
548085269,-1.665,0
548128122,-0.5834,0
51963422,-0.258545455,0
586485420,0.63025,0
762784463,-0.2104,0
79672834,-4.1932,0
52505179,-0.111166667,0
550095260,-0.138166667,0
51834276,-1.0135,0
762800686,1.137,0
51959261,-0.5285,0
51961456,-0.3035,0
706849301,-0.36275,0
576451360,-2.42925,0
762784471,-3.245666667,0
565380385,0.271,0
83573219,-0.7125,0
586810046,-1.964333333,0
586488978,-0.4118,0
762784454,-2.55175,0
548024955,-1.45025,0
762000722,-3.624,0.027415524
547984531,-0.00275,0
547984537,0.250333333,0
